tournament_year,player_name,team_country,position,club,fifa_ranking,jersey_number,appearances,goals,assists,dribbles_per90,interceptions_per90,tackles_per90,duels_won_per90,save_pct,clean_sheets_pct,kit_sponsor,dob
2022,William Carvalho,Portugal,MF,Real Betis,9,14.0,4.0,0.0,0.0,0.0,0.0,2.51,6.69,,,Nike,1992-04-07
2022,Vitinha,Portugal,MF,PSG,9,16.0,3.0,0.0,0.0,1.51,0.0,2.27,5.29,,,Nike,2000-02-13
2022,Andre Silva,Portugal,FW,RB Leipzig,9,24.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2,,,Nike,1995-11-06
2022,Cristiano Ronaldo 🐐,Portugal,FW,-,9,7.0,5.0,1.0,0.0,0.62,0.0,0.0,6.49,,,Nike,1985-02-05
2022,Goncalo Ramos,Portugal,FW,Benfica,9,26.0,4.0,3.0,1.0,1.18,0.0,0.59,7.11,,,Nike,2001-06-20
2022,Joao Felix,Portugal,FW,Atletico Madrid,9,11.0,4.0,1.0,2.0,2.16,1.08,0.54,5.13,,,Nike,1999-11-10
2022,Rafael Leao,Portugal,FW,AC Milan,9,15.0,5.0,2.0,0.0,6.51,1.08,0.0,7.59,,,Nike,1999-06-10
2022,Ricardo Horta,Portugal,FW,SC Braga,9,21.0,3.0,1.0,0.0,0.0,0.76,1.53,2.29,,,Nike,1994-09-15
2022,Mat Ryan,Australia,GK,Copenhagen,27,1.0,4.0,,,,,,,66.67,50.0,Nike,1992-04-08
2022,Danny Vukovic,Australia,GK,Central Coast Mariners,27,18.0,,,,,,,,,,Nike,1985-03-27
2022,Andrew Redmayne,Australia,GK,Sydney,27,12.0,,,,,,,,,,Nike,1989-01-13
2022,Aziz Behic,Australia,DF,Dundee United,27,16.0,4.0,0.0,0.0,3.0,0.75,2.0,5.5,,,Nike,1990-10-16
2022,Milos Degenek,Australia,DF,Columbus Crew,27,2.0,4.0,0.0,0.0,1.49,0.5,2.49,11.93,,,Nike,1994-04-28
2022,Bailey Wright,Australia,DF,Sunderland,27,8.0,1.0,0.0,0.0,0.0,0.0,0.0,11.24,,,Nike,1992-07-28
2022,Fran Karacic,Australia,DF,Brescia,27,5.0,2.0,0.0,0.0,0.0,1.91,2.87,10.53,,,Nike,1996-05-12
2022,Harry Souttar,Australia,DF,Stoke City,27,19.0,4.0,0.0,0.0,0.0,1.5,1.0,7.25,,,Nike,1998-10-22
2022,Nathaniel Atkinson,Australia,DF,Hearts,27,3.0,1.0,0.0,0.0,2.12,1.06,4.24,4.24,,,Nike,1999-06-13
2022,Joel King,Australia,DF,OB,27,24.0,,,,,,,,,,Nike,2000-10-30
2022,Kye Rowles,Australia,DF,Hearts,27,4.0,4.0,0.0,0.0,0.0,1.75,2.25,4.25,,,Nike,1998-06-24
2022,Thomas Deng,Australia,DF,Albirex Niigata,27,20.0,,,,,,,,,,Nike,1997-03-20
2022,Aaron Mooy,Australia,MF,Celtic,27,13.0,4.0,0.0,0.0,0.75,0.5,2.25,4.0,,,Nike,1990-09-15
2022,Jackson Irvine,Australia,MF,St Pauli,27,22.0,4.0,0.0,0.0,0.51,0.51,1.01,6.08,,,Nike,1993-03-07
2022,Ajdin Hrustic,Australia,MF,Hellas Verona,27,10.0,2.0,0.0,0.0,6.1,1.53,1.53,6.1,,,Nike,1996-07-05
2022,Riley McGree,Australia,MF,Middlesbrough,27,14.0,4.0,0.0,1.0,0.0,1.67,0.67,2.0,,,Nike,1998-11-02
2022,Keanu Baccus,Australia,MF,St Mirren,27,26.0,4.0,0.0,0.0,0.0,1.61,0.8,4.82,,,Nike,1998-06-07
2022,Cameron Devlin,Australia,MF,Hearts,27,17.0,,,,,,,,,,Nike,1998-06-07
2022,Mathew Leckie,Australia,FW,Melbourne City,27,7.0,4.0,1.0,1.0,2.69,0.27,1.07,11.02,,,Nike,1991-02-04
2022,Awer Mabil,Australia,FW,Cadiz,27,11.0,2.0,0.0,0.0,4.09,4.09,0.0,0.0,,,Nike,1995-09-15
2022,Jamie Maclaren,Australia,FW,Melbourne City,27,9.0,3.0,0.0,0.0,0.0,1.7,0.0,3.4,,,Nike,1993-07-29
2022,Mitchell Duke,Australia,FW,Fagiano Okayama,27,15.0,4.0,1.0,0.0,0.66,0.66,0.0,8.58,,,Nike,1991-01-18
2022,Marco Tilio,Australia,FW,Hibernian,27,6.0,,,,,,,,,,Nike,1993-04-25
2022,Craig Goodwin,Australia,FW,Adelaide United,27,23.0,4.0,1.0,0.0,0.0,0.0,1.52,3.04,,,Nike,1991-12-16
2022,Jason Cummings,Australia,FW,Central Coast Mariners,27,25.0,1.0,0.0,0.0,2.65,0.0,0.0,0.0,,,Nike,1995-08-01
2022,Garang Kuol,Australia,FW,Central Coast Mariners,27,21.0,2.0,0.0,0.0,,,,,,,Nike,2004-09-15
2022,Matt Turner,USA,GK,Arsenal,13,1.0,4.0,,,,,,,53.33,50.0,Nike,1994-06-24
2022,Ethan Horvath,USA,GK,Luton Town,13,12.0,0.0,,,,,,,,,,1995-06-09
2022,Sean Johnson,USA,GK,New York City FC,13,25.0,0.0,,,,,,,,,Nike,1989-05-31
2022,Cameron Carter-Vickers,USA,DF,Celtic,13,20.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,,Nike,1997-12-31
2022,Sergiño Dest,USA,DF,AC Milan,13,2.0,4.0,0.0,1.0,2.33,0.58,0.87,2.91,,,Nike,2000-11-03
2022,Aaron Long,USA,DF,New York Red Bills,13,15.0,,,,,,,,,,Nike,2000-10-12
2022,Shaq Moore,USA,DF,Nashville SC,13,18.0,2.0,0.0,0.0,0.0,0.0,9.0,18.0,,,Nike,1996-11-02
2022,Tim Ream,USA,DF,Fulham,13,13.0,4.0,0.0,0.0,0.25,1.0,1.0,4.75,,,Nike,1987-10-05
2022,Antonee Robinson,USA,DF,Fulham,13,5.0,4.0,0.0,0.0,1.25,1.75,1.5,5.5,,,Nike,1997-08-08
2022,Joe Scally,USA,DF,Borussia Mönchengladbach,13,26.0,,,,,,,,,,Nike,2002-12-31
2022,DeAndre Yedlin,USA,DF,Inter Miami,13,22.0,2.0,0.0,0.0,0.0,0.0,5.81,11.61,,,Nike,1993-07-09
2022,Walker Zimmerman,USA,DF,Nashville SC,13,3.0,4.0,0.0,0.0,0.0,1.29,0.97,6.15,,,Nike,1993-05-19
2022,Brenden Aaronson,USA,MF,Leeds United,13,11.0,4.0,0.0,0.0,6.06,0.87,2.6,6.92,,,Nike,2000-10-22
2022,Kellyn Acosta,USA,MF,Los Angeles FC,13,23.0,2.0,0.0,0.0,0.0,0.0,6.59,10.98,,,Nike,1995-07-24
2022,Tyler Adams,USA,MF,Leeds United,13,4.0,4.0,0.0,0.0,0.25,1.0,2.25,6.25,,,Nike,1999-02-14
2022,Luca de la Torre,USA,MF,Celta Vigo,13,14.0,,,,,,,,,,Nike,1998-05-23
2022,Weston McKennie,USA,MF,Juventus,13,8.0,4.0,0.0,0.0,0.65,0.0,0.65,3.6,,,Nike,1998-08-28
2022,Yunus Musah,USA,MF,Valencia,13,6.0,4.0,0.0,0.0,,,,,,,Nike,2002-11-29
2022,Cristian Roldan,USA,MF,Seattle Sounders,13,17.0,,,,,,,,,,Nike,1995-06-03
2022,Jesús Ferreira,USA,FW,Tulsa Roughnecks,13,9.0,1.0,0.0,0.0,1.96,0.0,1.96,5.87,,,Nike,2000-12-24
2022,Jordan Morris,USA,FW,Swansea City,13,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nike,1994-10-26
2022,Christian Pulisic,USA,FW,Chelsea,13,10.0,4.0,1.0,2.0,1.99,0.0,0.57,5.7,,,Nike,1998-09-18
2022,Gio Reyna,USA,FW,Borussia Dortmund,13,7.0,2.0,0.0,0.0,0.0,0.0,0.0,10.59,,,Nike,2002-11-13
2022,Tim Weah,USA,FW,Lille,13,21.0,4.0,1.0,0.0,0.56,0.0,0.28,2.25,,,Nike,2000-02-22
2022,Haji Wright,USA,FW,Antalyaspor,13,19.0,4.0,1.0,0.0,0.67,0.0,1.33,10.0,,,Nike,1998-03-27
2022,Wojciech Szczesny,Poland,GK,Juventus,22,1.0,4.0,,,,,,,82.14,50.0,Nike,1990-04-15
2022,Kamil Grabara,Poland,GK,FC Copenhagen,22,22.0,0.0,,,,,,,,,Nike,1999-01-08
2022,Lukasz Skorupski,Poland,GK,Bologna,22,12.0,0.0,,,,,,,,,Nike,1991-05-05
2022,Jan Bednarek,Poland,DF,Aston Villa,22,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nike,1996-04-12
2022,Kamil Glik,Poland,DF,Benevento,22,15.0,4.0,0.0,0.0,0.0,0.75,0.5,2.5,,,Nike,1988-02-03
2022,Robert Gumny,Poland,DF,Augsburg,22,25.0,,,,,,,,,,Nike,1998-06-04
2022,Artur Jedrzejczyk,Poland,DF,Legia Warsaw,22,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nike,1987-11-04
2022,Jakub Kiwior,Poland,DF,Spezia,22,14.0,4.0,0.0,0.0,0.0,0.76,0.5,2.02,,,Nike,2000-02-15
2022,Mateusz Wieteska,Poland,DF,Clermont,22,4.0,,,,,,,,,,Nike,1997-02-11
2022,Bartosz Bereszynski,Poland,DF,Sampdoria,22,18.0,4.0,0.0,0.0,1.84,0.79,1.58,5.0,,,Nike,1992-07-12
2022,Matty Cash,Poland,DF,Aston Villa,22,2.0,4.0,0.0,0.0,0.5,0.0,1.0,2.5,,,Nike,1997-08-07
2022,Nicola Zalewski,Poland,DF,Roma,22,21.0,2.0,0.0,0.0,2.77,0.0,5.54,8.31,,,Nike,2002-01-23
2022,Krystian Bielik,Poland,MF,Birmingham City,22,6.0,4.0,0.0,0.0,1.26,1.67,1.26,9.21,,,Nike,1998-01-04
2022,Przemyslaw Frankowski,Poland,MF,Lens,22,24.0,4.0,0.0,0.0,0.74,1.12,2.6,5.95,,,Nike,1995-04-12
2022,Kamil Grosicki,Poland,MF,Pogon Szczecin,22,11.0,1.0,0.0,0.0,,0.0,0.0,,,,Nike,1988-06-08
2022,Grzegorz Krychowiak,Poland,MF,Al-Shabab,22,10.0,4.0,0.0,0.0,0.54,1.35,2.43,6.74,,,Nike,1990-01-29
2022,Jakub Kaminski,Poland,MF,Wolfsburg,22,13.0,4.0,0.0,0.0,1.55,0.0,2.33,3.88,,,Nike,2002-06-05
2022,Michal Skoras,Poland,MF,Lech Poznan,22,26.0,1.0,0.0,0.0,0.0,2.05,0.0,8.19,,,Nike,2000-02-15
2022,Damian Szymanski,Poland,MF,AEK Athens,22,8.0,1.0,0.0,0.0,0.0,3.21,0.0,0.0,,,Nike,1995-06-16
2022,Sebastian Szymanski,Poland,MF,Feyenoord,22,19.0,2.0,0.0,0.0,1.33,1.33,4.0,8.0,,,Nike,1999-05-10
2022,Piotr Zielinski,Poland,MF,Napoli,22,20.0,4.0,1.0,0.0,0.82,0.27,1.91,2.73,,,Nike,1994-05-20
2022,Szymon Zurkowski,Poland,MF,Fiorentina,22,17.0,,,,,,,,,,Nike,1997-09-25
2022,Robert Lewandowski,Poland,FW,Barcelona,22,9.0,4.0,2.0,1.0,2.75,0.5,0.75,12.5,,,Nike,1988-08-21
2022,Arkadiusz Milik,Poland,FW,Juventus,22,7.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,,,Nike,1994-02-28
2022,Krzysztof Piatek,Poland,FW,Salernitana,22,23.0,2.0,0.0,0.0,0.0,0.0,0.0,17.3,,,Nike,1995-07-01
2022,Karol Swiderski,Poland,FW,Charlotte FC,22,16.0,1.0,0.0,0.0,0.0,3.91,7.83,,,,Nike,1997-01-23
2022,Edouard Mendy,Senegal,GK,Chelsea,19,16.0,4.0,,,,,,,50.0,0.0,Puma,1992-03-01
2022,Alfred Gomis,Senegal,GK,Rennes,19,23.0,,,,,,,,,,Puma,1993-09-05
2022,Seny Dieng,Senegal,GK,QPR,19,1.0,,,,,,,,,,Puma,1994-11-23
2022,Formose Mendy,Senegal,DF,Amiens,19,2.0,,,,,,,,,,Puma,2001-01-02
2022,Kalidou Koulibaly,Senegal,DF,Chelsea,19,3.0,4.0,1.0,0.0,0.0,0.75,3.0,9.25,,,Puma,1991-06-20
2022,Papa Abou Cisse,Senegal,DF,Olympiacos,19,4.0,2.0,0.0,0.0,0.88,1.76,0.0,4.41,,,Puma,1995-09-14
2022,Abdou Diallo,Senegal,DF,RB Leipzig,19,22.0,4.0,0.0,0.0,0.0,0.27,0.54,4.34,,,Puma,1996-05-04
2022,Fode Ballo-Toure,Senegal,DF,AC Milan,19,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,Puma,1997-01-03
2022,Ismail Jakobs,Senegal,DF,AS Monaco,19,14.0,4.0,0.0,1.0,0.32,1.29,0.0,7.39,,,Puma,1999-08-17
2022,Youssouf Sabaly,Senegal,DF,Real Betis,19,21.0,4.0,0.0,0.0,1.25,1.0,1.5,7.5,,,Puma,1993-03-05
2022,Moussa Ndiaye,Senegal,DF,Anderlecht,19,10.0,,,,,,,,,,Puma,2002-06-18
2022,Papa Gueye,Senegal,MF,Marseille,19,26.0,3.0,0.0,0.0,0.6,1.19,2.38,10.13,,,Puma,1999-01-24
2022,Pape Matar Sarr,Senegal,MF,Tottenham Hotspur,19,17.0,0.0,0.0,0.0,1.61,0.0,4.82,8.65,,,Puma,2002-09-14
2022,Nampalys Mendy,Senegal,MF,Leicester City,19,6.0,4.0,0.0,0.0,0.33,0.99,1.31,2.3,,,Puma,1992-06-23
2022,Krepin Diatta,Senegal,MF,AS Monaco,19,15.0,3.0,0.0,0.0,1.96,0.0,0.0,3.43,,,Puma,1999-02-25
2022,Pathe Ciss,Senegal,MF,Rayo Vallecano,19,11.0,3.0,0.0,0.0,1.23,1.23,1.85,8.63,,,Puma,1994-03-16
2022,Moustapha Name,Senegal,MF,Monaco,19,24.0,,,,,,,,,,Puma,1995-05-05
2022,Loum Ndiaye,Senegal,MF,Pafos,19,25.0,,,,,,,,,,Puma,1996-12-30
2022,Boulaye Dia,Senegal,FW,Salernitana,19,9.0,4.0,1.0,0.0,0.56,0.28,0.28,4.76,,,Puma,1996-11-16
2022,Ismalia Sarr,Senegal,FW,Watford,19,18.0,4.0,1.0,0.0,3.4,0.52,0.78,11.77,,,Puma,1998-02-25
2022,Bamba Dieng,Senegal,FW,Marseille,19,20.0,4.0,1.0,0.0,,,,,,,Puma,2000-03-23
2022,Iliman Ndiaye,Senegal,FW,Sheffield United,19,13.0,3.0,0.0,1.0,4.6,0.66,0.0,3.94,,,Puma,2000-03-06
2022,Nicolas Jackson,Senegal,FW,Villarreal,19,7.0,1.0,0.0,0.0,,,,,,,Puma,2001-06-20
2022,Famara Diedhiou,Senegal,FW,Alanyaspor,19,19.0,2.0,1.0,0.0,0.98,0.0,0.0,11.74,,,Puma,1992-12-15
2022,Eiji Kawashima,Japan,GK,Strasbourg,20,1.0,0.0,,,,,,,,,Adidas,1983-03-20
2022,Shuichi Gonda,Japan,GK,Shimizu S-Pulse,20,12.0,4.0,,,,,,,78.95,0.0,Adidas,1989-03-03
2022,Daniel Schmidt,Japan,GK,Sint-Truiden,20,23.0,0.0,,,,,,,,,Adidas,1992-02-03
2022,Miki Yamane,Japan,DF,Kawasaki Frontale,20,2.0,1.0,0.0,0.0,1.45,2.9,1.45,4.35,,,Adidas,1993-12-22
2022,Shogo Taniguchi,Japan,DF,Kawasaki Frontale,20,3.0,2.0,0.0,0.0,0.0,0.43,0.43,6.43,,,Adidas,1991-07-15
2022,Yuto Nagatomo,Japan,DF,Tokyo,20,5.0,4.0,0.0,0.0,1.69,0.0,1.69,3.8,,,Adidas,1986-09-12
2022,Takehiro Tomiyasu,Japan,DF,Arsenal,20,16.0,3.0,0.0,0.0,0.0,0.0,0.0,5.84,,,Adidas,1998-11-05
2022,Hiroki Sakai,Japan,DF,Urawa Red Diamonds,20,19.0,2.0,0.0,0.0,1.5,0.75,3.75,9.0,,,Adidas,1990-04-12
2022,Maya Yoshida,Japan,DF,Schalke,20,22.0,4.0,0.0,1.0,0.46,0.69,0.92,6.76,,,Adidas,1988-08-24
2022,Hiroki Ito,Japan,DF,Stuttgart,20,26.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,,,Adidas,1999-05-12
2022,Wataru Endo,Japan,MF,Stuttgart,20,6.0,4.0,0.0,0.0,0.89,0.89,2.38,10.69,,,Adidas,1993-02-09
2022,Gaku Shibasaki,Japan,MF,Leganes,20,7.0,,,,,,,,,,Adidas,1992-05-28
2022,Ritsu Doan,Japan,MF,Freiburg,20,8.0,4.0,2.0,0.0,2.49,0.83,2.49,6.22,,,Adidas,1998-06-16
2022,Kaoru Mitoma,Japan,MF,Brighton,20,9.0,4.0,0.0,1.0,2.8,1.12,3.91,7.83,,,Adidas,1997-05-20
2022,Takumi Minamino,Japan,MF,Monaco,20,10.0,3.0,0.0,0.0,1.61,0.0,3.21,3.21,,,Adidas,1995-01-16
2022,Hidemasa Morita,Japan,MF,Sporting,20,13.0,3.0,0.0,0.0,1.26,0.63,0.0,3.46,,,Adidas,1995-05-10
2022,Junya Ito,Japan,MF,Reims,20,14.0,4.0,0.0,1.0,1.95,1.11,1.95,5.58,,,Adidas,1993-03-09
2022,Daichi Kamada,Japan,MF,Eintracht Frankfurt,20,15.0,4.0,0.0,0.0,1.11,0.0,1.94,4.72,,,Adidas,1996-11-05
2022,Ao Tanaka,Japan,MF,Fortuna Dusseldorf,20,17.0,3.0,1.0,0.0,0.0,1.57,1.57,5.23,,,Adidas,1998-09-10
2022,Yuki Soma,Japan,MF,Nagoya Grampus,20,24.0,1.0,0.0,0.0,2.2,0.0,2.2,6.59,,,Adidas,1997-02-25
2022,Takuma Asano,Japan,FW,Bochum,20,18.0,4.0,1.0,0.0,0.56,0.56,0.0,1.12,,,Adidas,1994-11-10
2022,Shuto Machino,Japan,FW,Shonan Bellmare,20,20.0,,,,,,,,,,Adidas,1999-09-30
2022,Ayase Ueda,Japan,FW,Cercle Brugge,20,21.0,,,,,,,,,,Adidas,1998-08-28
2022,Daizen Maeda,Japan,FW,Celtic,20,25.0,3.0,1.0,0.0,0.0,1.48,1.48,3.9,,,Adidas,1997-10-20
2022,Kim Seung-gyu,South Korea,GK,Al Shabab,25,1.0,4.0,,,,,,,57.89,25.0,Nike,1990-09-30
2022,Jo Hyeon-woon,South Korea,GK,Ulsan Hyundai,25,21.0,0.0,,,,,,,,,Nike,1991-09-25
2022,Song Bum-keun,South Korea,GK,Jeonbuk Hyundai Motors,25,12.0,0.0,,,,,,,,,Nike,1997-10-15
2022,Kim Min-jae,South Korea,DF,Napoli,25,4.0,3.0,0.0,0.0,0.33,0.67,0.67,7.66,,,Nike,1996-11-15
2022,Kim Jin-su,South Korea,DF,Jeonbuk Hyundai Motors,25,3.0,4.0,0.0,1.0,0.57,0.85,2.85,10.26,,,Nike,1992-06-13
2022,Hong Chul,South Korea,DF,Daegu FC,25,14.0,1.0,0.0,0.0,2.05,2.05,0.0,4.05,,,Nike,1990-09-17
2022,Kim Moon-hwan,South Korea,DF,Jeonbuk Hyundai Motors,25,15.0,4.0,0.0,0.0,1.0,1.0,2.25,5.75,,,Nike,1995-08-01
2022,Yoon Jong-gyu,South Korea,DF,FC Seoul,25,2.0,,,,,,,,,,Nike,1998-03-20
2022,Kim Young-gwon,South Korea,DF,Ulsan Hyundai,25,19.0,4.0,1.0,0.0,0.0,0.77,0.77,4.36,,,Nike,1990-02-27
2022,Kim Tae-hwan,South Korea,DF,Ulsan Hyundai,25,23.0,,,,,,,,,,Nike,1989-07-24
2022,Kwon Kyung-won,South Korea,DF,Gamba Osaka,25,20.0,4.0,0.0,0.0,0.0,,,,,,Nike,1992-01-31
2022,Cho Yu-min,South Korea,DF,Daejon Citizen,25,24.0,1.0,0.0,0.0,,,,,,,Nike,1996-11-17
2022,Jung Woo-young,South Korea,MF,Al Sadd,25,5.0,4.0,0.0,0.0,0.0,0.59,1.48,5.04,,,Nike,1989-12-14
2022,Na Sang-ho,South Korea,MF,FC Seoul,25,17.0,2.0,0.0,0.0,3.05,0.0,3.05,7.63,,,Nike,1996-08-12
2022,Paik Seung-ho,South Korea,MF,Jeonbuk Hyundai Motors,25,8.0,1.0,1.0,0.0,0.0,0.0,10.8,,,,Nike,1997-03-17
2022,Son Jun-ho,South Korea,MF,Shandong Taishan,25,13.0,3.0,0.0,0.0,0.0,3.91,3.91,3.91,,,Nike,1992-05-12
2022,Song Min-kyu,South Korea,MF,Jeonbuk Hyundai Motors,25,26.0,,,,,,,,,,Nike,1999-09-12
2022,Kwon Chang-hoon,South Korea,MF,Gimcheon Sangmu,25,22.0,1.0,0.0,0.0,,,,,,,Nike,1994-06-30
2022,Lee Jae-sung,South Korea,MF,Mainz,25,10.0,3.0,0.0,0.0,1.26,1.26,2.1,5.89,,,Nike,1992-08-10
2022,Hwang In-beom,South Korea,MF,Olympiacos,25,6.0,4.0,0.0,0.0,1.07,0.81,1.07,2.96,,,Nike,1996-09-20
2022,Lee Kang-in,South Korea,MF,Mallorca,25,18.0,4.0,0.0,1.0,0.62,0.0,2.47,5.55,,,Nike,2001-02-19
2022,Son Heung-min,South Korea,FW,Tottenham Hotspur,25,7.0,4.0,0.0,1.0,3.25,0.5,1.25,3.5,,,Nike,1992-07-08
2022,Hwang Hee-chan,South Korea,FW,Wolverhampton Wanderers,25,11.0,2.0,1.0,0.0,7.11,0.0,0.79,5.53,,,Nike,1996-01-26
2022,Jeong Woo-yeong,South Korea,FW,Freiburg,25,25.0,1.0,0.0,0.0,1.96,0.0,0.0,0.0,,,Nike,1999-09-20
2022,Hwang Ui-jo,South Korea,FW,Olympiacos,25,16.0,4.0,0.0,0.0,0.86,0.0,0.0,2.57,,,Nike,1992-08-28
2022,Cho Gue-sung,South Korea,FW,Jeonbuk Hyundai Motors,25,9.0,,,,,,,,,,Nike,1998-01-26
2022,Robert Sanchez,Spain,GK,Brighton,10,1.0,0.0,,,,,,,,,Adidas,1997-11-18
2022,David Raya,Spain,GK,Brentford,10,13.0,0.0,,,,,,,,,Adidas,1995-09-15
2022,Unai Simon,Spain,GK,Athletic Club,10,23.0,4.0,,,,,,,66.67,50.0,Adidas,1997-06-11
2022,Cesar Azpilicueta,Spain,DF,Chelsea,10,2.0,2.0,0.0,1.0,0.0,0.66,0.66,3.31,,,Adidas,1989-08-28
2022,Jordi Alba,Spain,DF,FC Barcelona,10,18.0,4.0,0.0,2.0,1.02,1.02,2.37,4.74,,,Adidas,1989-03-21
2022,Hugo Guillamon,Spain,DF,Valencia,10,15.0,3.0,1.0,0.0,,,,,,,Adidas,2000-01-31
2022,Pau Torrres,Spain,DF,Villarreal,10,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Adidas,1997-01-17
2022,Eric Garcia,Spain,DF,Barcelona,10,3.0,3.0,0.0,0.0,,,,,,,Adidas,2001-01-09
2022,Alejandro Balde,Spain,DF,Barcelona,10,14.0,4.0,0.0,0.0,0.0,0.0,4.35,5.08,,,Adidas,2003-10-18
2022,Dani Carvajal,Spain,DF,Real Madrid,10,20.0,2.0,0.0,0.0,0.0,1.34,0.67,1.34,,,Adidas,1992-01-11
2022,Aymeric Laporte,Spain,DF,Manchester City,10,24.0,3.0,0.0,0.0,0.0,0.6,0.6,4.2,,,Adidas,1994-05-27
2022,Sergio Busquets,Spain,MF,Barcelona,10,5.0,4.0,0.0,0.0,0.25,0.25,1.73,6.68,,,Adidas,1988-07-16
2022,Marcos Llorente,Spain,MF,Atletico Madrid,10,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Adidas,1995-01-30
2022,Pedri,Spain,MF,Barcelona,10,26.0,4.0,0.0,0.0,2.02,1.01,1.01,3.53,,,Adidas,2002-11-25
2022,Rodri,Spain,MF,Manchester City,10,16.0,4.0,0.0,0.0,0.0,0.69,1.15,8.77,,,Adidas,1996-06-22
2022,Koke,Spain,MF,Atletico Madrid,10,8.0,2.0,0.0,0.0,0.0,0.0,1.8,1.8,,,Adidas,1992-01-08
2022,Gavi,Spain,MF,Barcelona,10,9.0,4.0,1.0,0.0,0.94,0.31,2.51,8.78,,,Adidas,2004-08-05
2022,Carlos Soler,Spain,MF,PSG,10,19.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,,,Adidas,1997-01-02
2022,Alvaro Morata,Spain,FW,Atletico Madrid,10,7.0,4.0,3.0,1.0,1.48,0.0,0.49,2.95,,,Adidas,1992-10-23
2022,Yeremy Pino,Spain,FW,Villarreal,10,17.0,,,,,,,,,,Adidas,2002-10-20
2022,Ferran Torres,Spain,FW,Barcelona,10,11.0,4.0,2.0,0.0,4.52,0.0,0.0,2.88,,,Adidas,2000-02-29
2022,Marco Asensio,Spain,FW,Real Madrid,10,10.0,4.0,1.0,0.0,0.78,0.0,0.39,1.56,,,Adidas,1996-01-21
2022,Pablo Sarabia,Spain,FW,PSG,10,22.0,1.0,0.0,0.0,,,,,,,Adidas,1992-05-11
2022,Dani Olmo,Spain,FW,RB Leipzig,10,21.0,4.0,1.0,1.0,3.91,0.24,1.22,3.42,,,Adidas,1998-05-07
2022,Nico Williams,Spain,FW,Athletic Club,10,12.0,4.0,0.0,0.0,8.07,0.0,2.48,6.83,,,Adidas,2002-07-12
2022,Ansu Fati,Spain,FW,Barcelona,10,25.0,2.0,0.0,0.0,4.09,0.0,2.05,6.14,,,Adidas,2002-10-31
2022,Yann Sommer,Switzerland,GK,Borussia Monchengladbach,12,1.0,3.0,,,,,,,63.16,33.0,Puma,1988-12-17
2022,Jonas Omlin,Switzerland,GK,Montpellier,12,12.0,0.0,,,,,,,,,Puma,1994-01-10
2022,Gregor Kobel,Switzerland,GK,Borussia Dortmund,12,21.0,1.0,,,,,,,50.0,0.0,Puma,1997-12-06
2022,Philipp Kohn,Switzerland,GK,Red Bull Salzburg,12,24.0,0.0,,,,,,,,,Puma,1998-04-02
2022,Ricardo Rodriguez,Switzerland,DF,Torino,12,13.0,4.0,0.0,0.0,0.0,0.0,1.5,7.0,,,Puma,1992-08-25
2022,Fabian Schar,Switzerland,DF,Newcastle United,12,22.0,2.0,0.0,0.0,0.0,1.32,1.32,7.94,,,Puma,1991-12-20
2022,Manuel Akanji,Switzerland,DF,Manchester City,12,5.0,4.0,1.0,0.0,0.0,0.75,1.25,6.0,,,Puma,1995-07-19
2022,Nico Elvedi,Switzerland,DF,Borussia Monchengladbach,12,4.0,2.0,0.0,0.0,0.0,0.5,1.0,4.5,,,Puma,1996-09-30
2022,Eray Comert,Switzerland,DF,Valencia,12,18.0,2.0,0.0,0.0,0.0,4.09,0.0,2.05,,,Puma,1998-02-04
2022,Xherdan Shaqiri,Switzerland,MF,Chicago Fire,12,23.0,3.0,1.0,1.0,0.78,0.0,0.0,3.12,,,Puma,1991-10-10
2022,Granit Xhaka,Switzerland,MF,Arsenal,12,10.0,4.0,0.0,0.0,0.25,0.5,1.5,6.25,,,Puma,1992-09-27
2022,Remo Freuler,Switzerland,MF,Nottingham Forest,12,8.0,4.0,1.0,0.0,0.56,0.83,2.22,3.34,,,Puma,1992-04-15
2022,Denis Zakaria,Switzerland,MF,Chelsea,12,6.0,2.0,0.0,0.0,1.58,4.74,0.0,6.32,,,Puma,1996-11-20
2022,Djibril Sow,Switzerland,MF,Eintracht Frankfurt,12,15.0,4.0,0.0,1.0,0.33,0.33,0.66,3.65,,,Puma,1997-02-06
2022,Renato Steffen,Switzerland,MF,Lugano,12,11.0,1.0,0.0,0.0,2.81,0.0,0.0,2.81,,,Puma,1991-11-03
2022,Edimilson Fernandes,Switzerland,MF,Mainz,12,2.0,3.0,0.0,0.0,1.26,1.26,1.26,2.52,,,Puma,1996-04-15
